accepted_ministeps,converged,dt_days,iterations,pressure_max,pressure_min,step,step_elapsed_seconds,time_days,well_count
1,True,30.0,3,40785345.18005503,39665818.782845646,70,26.20996439999726,1650.0,12
1,True,30.0,3,40777574.01707704,39663560.12364601,71,26.809650199997122,1680.0,12
1,True,30.0,3,40770112.719912864,39661320.00393812,72,25.10935790000076,1710.0,12
1,True,30.0,3,40762907.087534204,39658932.93539837,73,22.480609299993375,1740.0,12
1,True,30.0,3,40755908.64085025,39656687.51745319,74,21.916946400000597,1770.0,12
1,True,30.0,2,40749125.04581602,39654588.65556823,75,14.560327900006087,1800.0,12
1,True,30.0,2,40742549.28317986,39652651.11968731,76,16.364532199993846,1830.0,12
1,True,30.0,2,40736125.27590281,39650956.843956366,77,17.818123100005323,1860.0,12
1,True,30.0,3,40729808.929399945,39649412.78364194,78,24.428432000000612,1890.0,12
1,True,30.0,2,40723655.52668688,39648027.81422168,79,15.891793200004031,1920.0,12
1,True,30.0,2,40717660.63598005,39646771.87784931,80,15.961803600002895,1950.0,12
1,True,30.0,2,40711784.41650607,39645570.06545576,81,16.128573299996788,1980.0,12
1,True,30.0,2,40705925.2984213,39644375.632015474,82,16.19851390000258,2010.0,12
1,True,30.0,2,40700098.865518145,39643219.475981064,83,16.89304579999589,2040.0,12
1,True,30.0,2,40694351.07233001,39642089.800130166,84,15.845349900002475,2070.0,12
1,True,30.0,2,40688692.668139115,39640981.967901066,85,15.37680489999184,2100.0,12
1,True,30.0,2,40683151.02306853,39639904.33674073,86,15.78791289999208,2130.0,12
1,True,30.0,2,40677722.66556049,39638856.58384353,87,18.639478099998087,2160.0,12
1,True,30.0,2,40672409.77972476,39637837.84879262,88,17.458497700004955,2190.0,12
1,True,30.0,2,40667212.1995158,39636846.33581116,89,16.022683200004394,2220.0,12
1,True,30.0,2,40662107.2527754,39635886.64470606,90,16.160609300000942,2250.0,12
1,True,30.0,2,40657084.51150068,39634948.04918179,91,16.25689499999862,2280.0,12
1,True,30.0,2,40652149.67208208,39634029.997107446,92,15.587279400002444,2310.0,12
1,True,30.0,2,40647315.21546637,39633137.59029278,93,14.66359559999546,2340.0,12
1,True,30.0,2,40642583.79185329,39632270.287491396,94,14.762140699996962,2370.0,12
1,True,30.0,2,40637899.81619588,39631421.77568388,95,16.683944000003976,2400.0,12
1,True,30.0,2,40633317.538648106,39630597.41074823,96,16.581311000001733,2430.0,12
1,True,30.0,2,40628837.24166653,39629796.258494,97,17.34388030000264,2460.0,12
1,True,30.0,2,40624437.72306488,39629002.85275676,98,20.068038199999137,2490.0,12
1,True,30.0,2,40620123.77499557,39628220.384311505,99,26.239668299996993,2520.0,12
1,True,30.0,2,40615898.121148236,39627458.37894949,100,26.688754300004803,2550.0,12
1,True,30.0,2,40611741.594850175,39626710.427712195,101,24.074350900002173,2580.0,12
1,True,30.0,2,40607677.06781885,39625982.40969968,102,26.585839000006672,2610.0,12
1,True,30.0,2,40603695.84979112,39625274.08409913,103,25.523014499995043,2640.0,12
1,True,30.0,2,40599800.480542615,39624583.89403614,104,25.594040200012387,2670.0,12
1,True,30.0,2,40595984.286351986,39623907.74594273,105,21.359731300006388,2700.0,12
1,True,30.0,2,40592246.30065679,39623246.48944927,106,20.643602100011776,2730.0,12
1,True,30.0,2,40588555.842019156,39622578.89657642,107,19.874498600009247,2760.0,12
1,True,30.0,2,40584905.75614016,39621906.42714429,108,19.828953899996122,2790.0,12
1,True,30.0,2,40581305.25202388,39621247.800571844,109,18.7941703999968,2820.0,12
1,True,30.0,2,40577778.09303952,39620603.828325935,110,18.176304600012372,2850.0,12
1,True,30.0,2,40574316.164991856,39619972.78838831,111,25.943999399998575,2880.0,12
1,True,30.0,2,40570925.0461625,39619356.01752123,112,23.49562290000904,2910.0,12
1,True,30.0,2,40567732.74511716,39618731.73611715,113,22.591266300005373,2940.0,12
1,True,30.0,2,40564593.607754625,39618114.02417825,114,25.582376199992723,2970.0,12
1,True,30.0,2,40561512.9529089,39617512.38704718,115,67.79605069999525,3000.0,12
1,True,30.0,2,40558493.053252235,39616927.38785605,116,39.721836899989285,3030.0,12
1,True,30.0,2,40555531.86917346,39616359.2364372,117,43.097190499989665,3060.0,12
1,True,30.0,2,40552615.71530223,39615805.03790163,118,48.33106719999341,3090.0,12
1,True,30.0,2,40549733.8888116,39615263.5054391,119,56.71708009998838,3120.0,12
1,True,30.0,2,40546900.04429884,39614736.14646535,120,63.16542659999686,3150.0,12
