accepted_ministeps,converged,dt_days,iterations,pressure_max,pressure_min,step,step_elapsed_seconds,time_days,well_count
1,True,13.0,3,45806216.197166495,34384000.08402454,37,0.21179799999663373,651.0,2
1,True,13.0,2,45933686.095781006,34551410.33208052,38,0.15316700000403216,664.0,2
1,True,13.0,2,46061135.99708768,34716579.5829967,39,0.16207269999722484,677.0,2
1,True,13.0,2,46189190.617645234,34883087.80599772,40,0.1337619000041741,690.0,2
1,True,13.0,2,46318757.49079772,35053178.46168622,41,0.139891600003466,703.0,2
1,True,13.0,3,46449844.55105396,35224714.872300826,42,0.19226590000471333,716.0,2
1,True,14.0,2,46591815.41808203,35409473.900417805,43,0.14347470000211615,730.0,2
1,True,10.0,2,46694036.92959242,35540375.4665886,44,0.1565229999978328,740.0,2
1,True,10.0,2,46797322.682999305,35670991.890869275,45,0.15347820000170032,750.0,2
1,True,10.0,3,46901827.6034375,35802894.28534376,46,0.19366919999447418,760.0,2
1,True,10.0,2,47007116.975524284,35933082.84728272,47,0.15736810000089463,770.0,2
1,True,10.0,3,47112203.87898802,36062981.83657304,48,0.22667099999671336,780.0,2
1,True,10.0,2,47217337.75179014,36192447.56084806,49,0.16601670000090962,790.0,2
1,True,10.0,2,47322835.302269556,36323766.93448511,50,0.14501100000052247,800.0,2
1,True,10.0,2,47429200.60770296,36459391.21973857,51,0.15621389999432722,810.0,2
1,True,10.0,3,47536946.74504671,36600764.97581999,52,0.19363919999887003,820.0,2
1,True,10.0,2,47645766.53501737,36737702.343641914,53,0.13812940000207163,830.0,2
1,True,10.0,2,47755497.75215058,36871016.86694578,54,0.15010130000155186,840.0,2
1,True,10.0,3,47865839.145692684,37001218.5244593,55,0.20019120000506518,850.0,2
1,True,10.0,2,47976435.05893838,37131230.26915058,56,0.14826429999811808,860.0,2
1,True,10.0,2,48087302.878472134,37267162.23902265,57,0.1443278000006103,870.0,2
1,True,10.0,2,48198845.17313854,37411022.999836154,58,0.1364975000033155,880.0,2
1,True,10.0,2,48311779.07260957,37564011.49394209,59,0.14680410000437405,890.0,2
1,True,10.0,3,48426618.626543686,37716263.070163906,60,0.19925009999860777,900.0,2
1,True,12.5,3,48568998.143602595,37905733.430200934,61,0.20041710000077728,912.5,2
1,True,8.5,2,48661861.30295719,38035504.3434132,62,0.12302009999984875,921.0,2
1,True,5.0,2,48717790.35815284,38112871.697475865,63,0.160701999993762,926.0,2
1,True,5.0,3,48771822.878806174,38192483.98204975,64,0.16653650000080233,931.0,2
1,True,5.0,2,48825395.41166939,38274351.66362151,65,0.11475509999581845,936.0,2
1,True,5.0,3,48880315.600082256,38358309.04640722,66,0.1499863999997615,941.0,2
1,True,5.0,2,48936048.15033108,38444081.20832936,67,0.15205080000305315,946.0,2
1,True,5.0,2,48992356.97790373,38531674.604402386,68,0.13354080000135582,951.0,2
1,True,5.0,3,49048961.585770234,38619264.54296973,69,0.1730362000016612,956.0,2
1,True,5.0,3,49105515.87215352,38702959.95935952,70,0.18920909999724245,961.0,2
1,True,5.0,2,49161873.96403092,38783707.485435516,71,0.15232690000266302,966.0,2
1,True,5.0,2,49217975.864141,38865281.269593365,72,0.13820120000309544,971.0,2
1,True,5.0,2,49273891.005432,38949390.53772727,73,0.1346763999972609,976.0,2
