step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
136,8.113,3,4.136,4,3.371,3,26,0.606,0.998,2.125,0.075,0.107,0.150,2.264
137,14.240,5,6.043,6,7.504,5,76,0.692,1.705,5.146,0.123,0.306,0.429,5.601
138,16.136,6,6.935,7,8.445,6,80,0.756,2.058,5.630,0.130,0.319,0.458,6.085
139,17.891,7,8.021,8,9.011,7,79,0.860,2.370,5.895,0.155,0.321,0.453,6.337
140,18.532,6,7.075,7,10.676,6,112,0.781,2.169,7.648,0.133,0.459,0.650,8.407
141,16.602,5,6.114,6,9.797,5,121,0.691,1.699,7.136,0.111,0.496,0.696,7.919
142,17.601,6,7.046,7,9.748,6,102,0.806,2.078,6.723,0.135,0.413,0.580,7.346
143,16.620,6,7.027,7,8.727,6,85,0.865,2.009,5.984,0.141,0.346,0.491,6.494
144,12.840,5,6.036,6,6.107,5,51,0.697,1.703,3.952,0.119,0.208,0.299,4.232
145,16.498,7,8.000,8,7.586,7,54,0.912,2.304,4.650,0.151,0.221,0.315,4.941
146,18.759,6,6.923,7,11.068,6,122,0.768,2.120,8.055,0.143,0.493,0.700,8.846
147,18.497,6,6.999,7,10.665,6,120,0.833,2.117,7.641,0.143,0.486,0.687,8.395
148,12.544,5,6.097,6,5.746,5,42,0.701,1.730,3.660,0.110,0.172,0.238,3.886
149,12.720,5,5.993,6,6.047,5,44,0.679,1.801,3.888,0.109,0.178,0.253,4.127
150,16.677,6,7.024,7,8.887,6,90,0.767,1.989,6.096,0.132,0.366,0.514,6.646
151,20.908,6,7.185,7,12.836,6,162,0.888,2.083,9.530,0.137,0.653,0.916,10.597
152,11.841,5,6.256,6,4.906,5,30,0.679,1.636,2.884,0.108,0.119,0.172,3.039
153,14.358,6,7.438,7,6.154,6,40,0.766,2.022,3.745,0.141,0.161,0.229,3.956
154,14.311,6,7.026,7,6.490,6,43,0.796,2.015,3.968,0.144,0.173,0.251,4.198
155,13.062,5,6.594,6,5.804,5,46,0.664,1.690,3.721,0.114,0.188,0.261,3.969
156,8.049,3,4.276,4,3.205,3,22,0.567,1.039,1.972,0.074,0.088,0.126,2.089
157,9.722,4,5.181,5,3.972,4,23,0.569,1.367,2.363,0.084,0.094,0.135,2.486
158,9.806,4,5.084,5,4.024,4,24,0.698,1.368,2.386,0.087,0.099,0.139,2.514
159,13.145,5,6.389,6,6.102,5,50,0.654,1.705,3.943,0.121,0.203,0.292,4.221
160,13.652,5,6.158,6,6.815,5,60,0.679,1.745,4.593,0.112,0.242,0.340,4.932
161,7.677,3,4.107,4,3.073,3,19,0.497,0.987,1.783,0.066,0.075,0.108,1.881
162,9.843,4,5.175,5,4.060,4,27,0.607,1.289,2.435,0.096,0.111,0.156,2.576
163,11.820,4,5.258,5,5.967,4,60,0.595,1.410,4.148,0.092,0.245,0.348,4.498
164,59.315,23,27.373,27,29.051,23,247,2.891,7.774,18.841,0.523,1.002,1.420,20.246
165,8.328,3,4.198,4,3.618,3,26,0.513,1.024,2.366,0.070,0.112,0.161,2.509
166,10.349,4,5.114,5,4.659,4,36,0.575,1.344,2.997,0.092,0.145,0.208,3.193
167,8.000,3,4.233,4,3.277,3,22,0.490,1.026,1.966,0.064,0.089,0.126,2.146
168,10.347,4,5.252,5,4.521,4,30,0.575,1.416,2.728,0.100,0.122,0.172,2.884
169,20.712,8,10.294,10,9.173,8,66,1.246,2.813,5.723,0.177,0.268,0.375,6.072
170,13.197,5,6.512,6,6.018,5,51,0.666,1.668,3.907,0.114,0.205,0.292,4.185
171,10.937,4,5.344,5,5.006,4,42,0.586,1.338,3.322,0.097,0.180,0.243,3.554
172,19.539,7,9.351,9,9.028,7,79,1.159,2.425,5.927,0.156,0.324,0.461,6.375
173,13.117,5,6.278,6,6.086,5,51,0.753,1.693,3.952,0.118,0.207,0.299,4.230
174,10.238,4,5.198,5,4.456,4,33,0.585,1.324,2.732,0.087,0.134,0.189,2.906
175,13.464,5,6.491,6,6.272,5,53,0.701,1.681,4.068,0.117,0.212,0.305,4.357
176,12.845,5,6.421,6,5.735,5,42,0.689,1.650,3.649,0.106,0.169,0.242,3.868
177,14.285,5,6.556,6,7.030,5,66,0.700,1.670,4.782,0.125,0.267,0.379,5.164
178,16.370,6,7.389,7,8.194,6,76,0.787,2.041,5.428,0.136,0.302,0.428,5.854
179,7.847,3,4.014,4,2.947,3,18,0.886,0.997,1.743,0.065,0.070,0.102,1.834
180,13.387,5,6.361,6,6.269,5,56,0.756,1.659,4.134,0.104,0.221,0.320,4.444
181,15.291,6,7.402,7,7.094,6,54,0.796,2.045,4.560,0.144,0.218,0.307,4.848
182,16.336,6,7.466,7,8.074,6,75,0.795,2.019,5.271,0.130,0.301,0.422,5.691
183,16.880,6,7.088,7,8.919,6,81,0.873,2.109,6.204,0.142,0.350,0.469,6.698
184,14.469,6,7.251,7,6.429,6,39,0.789,2.011,3.938,0.144,0.157,0.229,4.151
185,16.915,6,7.479,7,8.593,6,81,0.842,2.069,5.816,0.147,0.318,0.459,6.286
186,16.994,6,7.316,7,8.906,6,88,0.771,2.068,6.001,0.129,0.346,0.502,6.518
187,10.074,4,5.220,5,4.139,4,29,0.715,1.311,2.564,0.085,0.116,0.165,2.716
188,11.686,5,6.169,6,4.815,5,27,0.702,1.665,2.844,0.124,0.111,0.155,2.986
189,12.626,5,6.440,6,5.431,5,38,0.756,1.742,3.428,0.110,0.152,0.220,3.629
190,21.229,8,9.502,9,10.744,8,100,0.983,2.710,7.152,0.181,0.396,0.574,7.735
191,24.665,9,10.478,10,13.134,9,129,1.053,3.035,8.910,0.203,0.514,0.737,9.728
192,16.732,6,7.506,7,8.429,6,82,0.798,2.007,5.743,0.137,0.324,0.463,6.221
193,21.410,8,9.502,9,10.953,8,101,0.955,2.651,7.356,0.177,0.398,0.573,7.945
194,12.652,5,6.144,6,5.828,5,46,0.679,1.707,3.751,0.111,0.181,0.262,3.997
195,12.575,5,6.501,6,5.388,5,38,0.686,1.639,3.286,0.104,0.149,0.216,3.485
196,18.393,7,8.622,8,8.903,7,78,0.867,2.380,5.776,0.162,0.309,0.439,6.201
197,67.081,26,31.696,30,32.054,26,270,3.331,8.753,20.961,0.566,1.071,1.552,22.494
198,74.807,31,38.433,36,32.548,31,217,3.826,10.426,19.861,0.697,0.865,1.237,20.980
199,13.179,5,6.654,6,5.834,5,44,0.691,1.691,3.689,0.107,0.176,0.251,3.928
200,26.731,10,13.081,12,12.239,10,101,1.411,3.380,7.828,0.229,0.403,0.577,8.385
201,31.607,12,15.452,14,14.628,12,126,1.527,3.980,9.536,0.264,0.498,0.713,10.237
202,85.395,35,43.477,40,37.738,35,257,4.180,11.821,22.986,0.766,1.035,1.489,24.355
203,34.985,13,18.188,17,14.754,13,111,2.043,4.486,9.325,0.298,0.443,0.630,9.909
204,32.453,11,13.671,12,17.526,11,177,1.256,3.824,12.172,0.248,0.712,1.005,13.247
205,24.930,9,10.891,10,13.005,9,121,1.034,3.134,8.838,0.208,0.500,0.693,9.547
206,10.994,4,5.658,5,4.657,4,37,0.679,1.365,2.998,0.085,0.151,0.212,3.199
