step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
226,173.262,52,108.008,59,58.772,52,414,6.482,18.012,36.708,1.174,1.684,2.403,38.981
227,206.539,63,129.614,72,69.232,63,475,7.693,21.198,43.041,1.377,1.927,2.742,45.541
228,231.932,71,147.452,82,75.502,71,499,8.978,23.564,46.095,1.576,2.021,2.876,48.773
229,10.946,3,7.356,4,3.097,3,20,0.493,0.980,1.831,0.063,0.082,0.113,1.932
230,291.696,88,185.154,101,95.683,88,670,10.859,29.190,59.512,1.985,2.725,3.869,63.075
231,84.371,25,55.006,29,26.192,25,164,3.174,8.734,16.008,0.583,0.666,0.951,16.870
232,138.570,41,89.465,48,43.730,41,279,5.374,14.166,26.363,0.939,1.130,1.603,27.816
233,262.677,78,167.867,90,84.641,78,561,10.169,27.045,51.861,1.778,2.267,3.219,54.837
234,243.574,73,155.702,84,78.739,73,512,9.133,25.257,47.910,1.700,2.089,2.963,50.609
235,200.220,60,127.833,69,64.787,60,424,7.601,20.764,39.436,1.353,1.735,2.463,41.691
236,132.865,38,86.301,46,40.781,38,266,5.782,13.027,24.843,0.891,1.099,1.563,26.267
237,240.290,71,153.271,81,78.196,71,529,8.822,24.759,48.214,1.594,2.151,3.040,51.023
238,68.238,20,43.586,23,22.148,20,154,2.505,7.034,13.831,0.443,0.619,0.888,14.645
239,135.126,40,86.114,45,44.166,40,308,4.845,13.800,27.201,0.939,1.237,1.755,28.829
240,100.754,29,64.471,34,32.496,29,234,3.787,9.850,20.078,0.662,0.944,1.342,21.312
241,18.875,5,11.356,6,6.840,5,63,0.678,1.731,4.588,0.124,0.252,0.361,4.943
242,21.858,6,13.350,7,7.702,6,65,0.806,2.076,4.970,0.142,0.263,0.371,5.329
243,89.434,26,56.857,30,29.124,26,190,3.452,9.196,17.793,0.628,0.774,1.112,18.843
244,14.369,4,9.461,5,4.291,4,28,0.616,1.424,2.631,0.088,0.114,0.164,2.777
245,31.432,8,19.431,10,10.772,8,99,1.229,2.741,7.172,0.190,0.409,0.573,7.749
246,11.554,3,7.601,4,3.360,3,21,0.594,1.163,2.141,0.068,0.088,0.124,2.252
247,11.317,3,7.504,4,3.230,3,21,0.583,1.017,1.923,0.069,0.084,0.119,2.031
248,28.286,7,15.573,8,11.363,7,116,1.350,2.446,7.952,0.153,0.466,0.667,8.650
249,23.339,6,13.142,7,9.422,6,99,0.775,2.062,6.588,0.144,0.394,0.561,7.182
250,11.494,3,7.639,4,3.237,3,22,0.617,1.028,1.993,0.075,0.088,0.126,2.108
251,42.055,12,24.561,13,16.058,12,140,1.436,4.296,10.561,0.266,0.557,0.793,11.372
252,11.634,3,7.710,4,3.290,3,24,0.635,1.009,2.036,0.063,0.097,0.137,2.159
253,14.259,4,9.303,5,4.359,4,29,0.596,1.351,2.638,0.087,0.119,0.167,2.787
254,16.459,4,10.033,5,5.815,4,56,0.611,1.385,3.924,0.101,0.222,0.324,4.255
255,11.273,3,7.638,4,3.138,3,21,0.497,0.986,1.938,0.069,0.082,0.119,2.048
256,18.897,5,11.433,6,6.772,5,61,0.691,1.767,4.503,0.119,0.242,0.343,4.844
257,21.510,6,13.084,7,7.628,6,62,0.799,2.030,4.866,0.135,0.245,0.352,5.276
258,15.301,4,9.685,5,5.005,4,43,0.611,1.356,3.278,0.088,0.170,0.247,3.517
259,24.386,7,15.184,8,8.310,7,66,0.891,2.436,5.365,0.145,0.265,0.379,5.722
260,19.110,5,11.454,6,6.933,5,56,0.723,1.804,4.558,0.153,0.220,0.319,4.877
261,25.099,7,15.518,8,8.657,7,66,0.924,2.406,5.687,0.159,0.273,0.382,6.082
262,19.284,5,11.428,6,7.093,5,64,0.762,1.774,4.885,0.106,0.254,0.368,5.274
263,26.914,8,17.272,9,8.622,8,55,1.021,2.813,5.191,0.177,0.216,0.313,5.489
264,14.831,4,9.416,5,4.821,4,39,0.594,1.360,3.134,0.093,0.151,0.216,3.339
265,17.980,5,11.226,6,6.074,5,51,0.681,1.691,3.907,0.106,0.201,0.285,4.182
266,18.512,5,11.389,6,6.399,5,52,0.724,1.713,4.171,0.130,0.212,0.311,4.490
267,24.654,7,15.199,8,8.556,7,70,0.899,2.453,5.496,0.156,0.275,0.398,5.877
268,74.374,21,45.617,24,26.033,21,219,2.724,7.262,17.100,0.462,0.865,1.228,18.298
269,36.467,11,22.684,12,12.521,11,95,1.262,3.775,7.884,0.248,0.378,0.544,8.398
270,99.684,29,62.478,33,33.521,29,262,3.685,9.768,21.262,0.647,1.032,1.474,22.646
