step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
145,11.124,5,4.326,6,6.091,5,42,0.707,1.772,3.988,0.111,0.180,0.254,4.225
146,17.027,6,5.073,7,11.135,6,112,0.819,2.048,8.151,0.130,0.495,0.689,8.918
147,18.612,6,4.916,7,12.929,6,120,0.766,2.031,9.627,0.139,0.628,0.878,10.633
148,10.371,5,4.166,6,5.564,5,42,0.641,1.611,3.460,0.110,0.168,0.238,3.683
149,10.834,5,4.287,6,5.836,5,44,0.712,1.761,3.739,0.120,0.178,0.250,3.974
150,14.480,6,4.814,7,8.918,6,89,0.747,2.001,6.157,0.239,0.360,0.507,6.698
151,23.077,6,5.650,7,16.517,6,161,0.909,2.337,12.688,0.141,0.811,1.080,14.004
152,11.733,5,5.168,6,5.816,5,31,0.749,1.899,3.547,0.142,0.146,0.202,3.767
153,12.282,5,5.140,6,6.374,5,39,0.769,1.951,4.036,0.154,0.173,0.246,4.275
154,12.389,6,4.982,7,6.679,6,43,0.728,2.060,4.127,0.137,0.179,0.307,4.367
155,11.088,5,4.267,6,6.170,5,48,0.651,1.719,4.023,0.180,0.194,0.274,4.288
156,6.563,3,2.903,4,3.164,3,22,0.496,1.032,1.989,0.064,0.092,0.129,2.105
157,7.721,4,3.352,5,3.826,4,22,0.544,1.289,2.210,0.085,0.088,0.123,2.321
158,8.038,4,3.382,5,4.093,4,23,0.562,1.366,2.538,0.086,0.096,0.135,2.662
159,10.991,5,4.045,6,6.307,5,50,0.639,1.710,4.231,0.109,0.207,0.294,4.515
160,11.517,5,4.126,6,6.737,5,65,0.653,1.587,4.589,0.106,0.261,0.374,4.960
161,6.670,3,2.739,4,3.443,3,19,0.488,1.090,2.181,0.067,0.078,0.111,2.283
162,8.319,4,3.617,5,4.132,4,26,0.570,1.330,2.499,0.093,0.106,0.155,2.639
163,10.018,4,3.599,5,5.833,4,59,0.586,1.324,3.963,0.083,0.237,0.339,4.309
164,55.743,23,22.985,40,28.534,23,247,4.224,7.629,18.871,0.527,0.996,1.418,20.269
165,6.713,3,2.742,4,3.504,3,30,0.468,0.940,2.288,0.068,0.122,0.174,2.449
166,8.368,4,3.385,5,4.437,4,35,0.546,1.263,2.784,0.083,0.138,0.195,2.966
167,6.648,3,2.788,4,3.372,3,25,0.487,0.977,2.083,0.064,0.101,0.144,2.216
168,8.133,4,3.369,5,4.211,4,29,0.553,1.277,2.648,0.092,0.124,0.175,2.807
169,15.833,7,6.273,9,8.440,7,71,1.119,2.374,5.485,0.149,0.287,0.413,5.880
170,11.626,5,4.386,6,6.571,5,58,0.668,1.639,4.385,0.120,0.235,0.337,4.721
171,9.280,4,3.595,5,5.122,4,45,0.563,1.344,3.382,0.083,0.182,0.262,3.631
172,12.102,5,4.018,6,7.436,5,74,0.648,1.692,5.111,0.102,0.299,0.432,5.550
173,11.177,5,4.265,6,6.252,5,51,0.661,1.735,4.094,0.116,0.206,0.294,4.376
174,8.608,4,3.568,5,4.462,4,32,0.578,1.427,2.821,0.088,0.129,0.185,2.989
175,11.110,5,4.503,6,5.974,5,51,0.633,1.655,3.883,0.138,0.206,0.291,4.158
176,10.652,5,4.238,6,5.524,5,42,0.891,1.652,3.522,0.108,0.172,0.245,3.748
