step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
142,8.874,7,4.783,12,3.141,7,44,0.950,0.692,1.591,0.188,0.110,0.127,1.701
143,9.100,7,5.019,11,3.221,7,53,0.859,0.678,1.742,0.203,0.133,0.151,1.871
144,4.174,3,2.384,4,1.461,3,26,0.329,0.267,0.833,0.052,0.069,0.078,0.900
145,3.701,3,2.059,4,1.317,3,27,0.325,0.247,0.731,0.054,0.069,0.079,0.794
146,3.978,3,2.001,4,1.657,3,34,0.320,0.334,1.042,0.054,0.086,0.102,1.129
147,2.745,2,1.523,3,0.954,2,19,0.268,0.195,0.548,0.037,0.047,0.055,0.594
148,2.727,2,1.550,3,0.812,2,14,0.364,0.180,0.424,0.031,0.034,0.042,0.457
149,3.875,3,2.091,4,1.400,3,25,0.383,0.291,0.777,0.062,0.064,0.073,0.839
150,2.747,2,1.532,3,0.953,2,18,0.262,0.198,0.550,0.037,0.046,0.054,0.595
151,3.935,3,2.049,4,1.473,3,26,0.414,0.283,0.784,0.051,0.067,0.074,0.844
152,3.675,3,1.935,4,1.389,3,26,0.352,0.292,0.798,0.053,0.064,0.077,0.861
153,4.847,4,2.515,5,1.916,4,36,0.417,0.382,1.068,0.074,0.089,0.104,1.154
154,2.909,2,1.687,3,0.943,2,19,0.278,0.194,0.547,0.037,0.048,0.053,0.592
155,2.648,2,1.516,3,0.867,2,14,0.265,0.185,0.493,0.036,0.034,0.042,0.523
156,4.806,4,2.508,5,1.870,4,35,0.428,0.387,1.086,0.067,0.088,0.102,1.173
157,4.073,3,2.180,4,1.578,3,34,0.316,0.287,0.959,0.059,0.084,0.098,1.042
158,4.261,3,2.310,4,1.612,3,37,0.339,0.276,0.966,0.053,0.093,0.109,1.059
159,3.007,2,1.839,3,0.892,2,16,0.276,0.184,0.496,0.037,0.040,0.045,0.534
160,5.589,4,2.933,5,2.238,4,39,0.418,0.474,1.359,0.074,0.102,0.120,1.462
161,3.787,3,2.101,4,1.353,3,24,0.333,0.269,0.736,0.059,0.060,0.071,0.793
162,4.115,3,2.316,4,1.452,3,30,0.347,0.279,0.826,0.057,0.074,0.088,0.898
163,2.935,2,1.691,3,0.979,2,19,0.266,0.191,0.565,0.039,0.048,0.057,0.610
164,2.914,2,1.757,3,0.881,2,15,0.276,0.173,0.463,0.039,0.039,0.044,0.497
165,4.649,3,2.563,4,1.724,3,29,0.363,0.348,1.040,0.061,0.079,0.085,1.141
166,2.979,2,1.836,3,0.847,2,14,0.297,0.174,0.416,0.031,0.035,0.040,0.449
167,3.008,2,1.777,3,0.937,2,17,0.294,0.176,0.501,0.035,0.044,0.048,0.541
168,2.685,2,1.539,3,0.882,2,15,0.265,0.194,0.488,0.036,0.043,0.042,0.524
169,2.711,2,1.540,3,0.760,2,10,0.411,0.188,0.363,0.033,0.025,0.029,0.386
170,2.895,2,1.662,3,0.971,2,13,0.262,0.275,0.524,0.041,0.031,0.038,0.556
171,4.201,3,2.376,4,1.475,3,27,0.350,0.281,0.840,0.052,0.072,0.080,0.909
