step,wall_s,newton_iters,assembly_s,assembly_calls,linear_s,linear_calls,krylov_iters,other_s,pc_setup_s,pc_apply_s,ilu_factor_s,ilu_solve_s,matvec_s,ksp_total_s
101,0.103,3,0.050,4,0.044,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
102,0.124,3,0.066,4,0.046,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
103,0.096,3,0.047,4,0.043,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
104,0.103,3,0.043,4,0.050,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
105,0.104,3,0.046,4,0.048,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
106,0.096,3,0.044,4,0.046,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
107,0.111,3,0.053,4,0.048,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
108,0.106,3,0.048,4,0.051,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
109,0.095,3,0.043,4,0.044,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
110,0.104,3,0.053,4,0.046,3,3,0.005,0.000,0.000,0.000,0.000,0.000,0.000
111,0.099,3,0.044,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
112,0.111,3,0.048,4,0.051,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
113,0.222,3,0.113,4,0.101,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
114,0.095,3,0.046,4,0.042,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
115,0.093,3,0.043,4,0.043,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
116,0.108,3,0.047,4,0.050,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
117,0.102,3,0.051,4,0.043,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
118,0.087,3,0.038,4,0.040,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
119,0.095,3,0.044,4,0.044,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
120,0.093,3,0.044,4,0.041,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
121,0.110,3,0.047,4,0.055,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
122,0.103,3,0.049,4,0.046,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
123,0.110,3,0.054,4,0.050,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
124,0.121,3,0.046,4,0.065,3,3,0.010,0.000,0.000,0.000,0.000,0.000,0.000
125,0.104,3,0.048,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
126,0.111,3,0.053,4,0.049,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
127,0.101,3,0.048,4,0.043,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
128,0.108,3,0.050,4,0.051,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
129,0.109,3,0.047,4,0.053,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
130,0.102,3,0.045,4,0.050,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
131,0.093,3,0.044,4,0.041,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
132,0.098,3,0.044,4,0.047,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
133,0.101,3,0.047,4,0.045,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
134,0.099,3,0.047,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
135,0.101,3,0.046,4,0.047,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
136,0.110,3,0.046,4,0.049,3,3,0.014,0.000,0.000,0.000,0.000,0.000,0.000
137,0.095,3,0.043,4,0.046,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
138,0.096,3,0.043,4,0.047,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
139,0.102,3,0.046,4,0.051,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
140,0.108,3,0.053,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
141,0.117,3,0.059,4,0.052,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
142,0.100,3,0.048,4,0.047,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
143,0.110,3,0.056,4,0.045,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
144,0.088,3,0.041,4,0.041,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
145,0.099,3,0.047,4,0.045,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
146,0.123,3,0.066,4,0.049,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
147,0.098,3,0.045,4,0.045,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
148,0.105,3,0.047,4,0.050,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
149,0.100,3,0.047,4,0.046,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
150,0.096,3,0.041,4,0.047,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
151,0.104,3,0.050,4,0.046,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
152,0.098,3,0.043,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
153,0.107,3,0.048,4,0.051,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
154,0.104,3,0.048,4,0.049,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
155,0.111,3,0.054,4,0.048,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
156,0.105,3,0.044,4,0.054,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
157,0.103,3,0.046,4,0.049,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
158,0.109,3,0.050,4,0.050,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
159,0.094,3,0.045,4,0.042,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
160,0.114,3,0.045,4,0.061,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
161,0.113,3,0.053,4,0.049,3,3,0.011,0.000,0.000,0.000,0.000,0.000,0.000
162,0.106,3,0.046,4,0.050,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
163,0.104,3,0.047,4,0.049,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
164,0.144,4,0.069,5,0.066,4,4,0.009,0.000,0.000,0.000,0.000,0.000,0.000
165,0.107,3,0.048,4,0.051,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
166,0.102,3,0.042,4,0.051,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
167,0.110,3,0.046,4,0.058,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
168,0.109,3,0.050,4,0.051,3,3,0.008,0.000,0.000,0.000,0.000,0.000,0.000
169,0.100,3,0.043,4,0.050,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
170,0.109,3,0.051,4,0.050,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
171,0.100,3,0.045,4,0.048,3,3,0.007,0.000,0.000,0.000,0.000,0.000,0.000
172,0.096,3,0.045,4,0.045,3,3,0.006,0.000,0.000,0.000,0.000,0.000,0.000
173,0.103,3,0.049,4,0.045,3,3,0.009,0.000,0.000,0.000,0.000,0.000,0.000
